Retrained at 2026-03-28T17:48:37.114537+00:00
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

ok     PAYTM.NS: 681 rows, classes=['BUY', 'HOLD', 'SELL']
ok     PERSISTENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     PIDILITIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     PLTR: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     PNB.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     POLICYBZR.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     POWERGRID.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     PYPL: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     QCOM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     QQQ: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     RELIANCE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     RENDER-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SAIL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SBILIFE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SBIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SHOP: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SHREECEM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SI=F: 615 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SIEMENS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SLV: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SNOW: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SOL-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SPY: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     SUNPHARMA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
